word,frequency
kaakaa,659
gaurukai,18
kotimaa,112
vidyaarjnkaa,45
phile,15549
vrsko,6159
umersmm,45
brhrimkaary,27
paaln,2585
gaurukulmaa,18
gai,2947
pdhne,685
traayugamaa,144
mryaadaapurusottm,48
raamshit,27
unkaa,15210
bhaai,3187
dvaaprmaa,45
bhgavaan,1688
shri,11970
krisnle,251
gaurukulmai,18
adhyyn,13336
garaa,39449
shaastrmaa,1044
gauruhru,22
vidvaan,616
hunaakaa,47
vidyaarthihru,735
vinyi,354
gaurubhkt,18
vidyaavyaasni,45
thie,96011
gauruko,149
maanytaa,5515
arule,513
hoin,6085
svynle,412
praapt,21759
bhnne,51562
kthn,983
rhiaaeko,509
gaautm,5278
buddhle,1040
aafno,66758
updesh,823
aajkai,45
dinubhaale,45
dinlaai,1700
dhrmkkr,228
prvrtn,118
divskaa,61
bauddh,17805
mnaaune,2560
gariaaaa,274
chn,123623
hindu,18591
ru'ko,37
dhrmaavlmbihruko,515
ek,155547
prv,5360
hinduhrule,387
mnaaunchn,578
gaurulaai,54
gauru,2294
gaurukai,27
gaurukulmaa,27
gaurukulmai,27
gauruhru,223
gaurubhkt,27
gauruko,361
purnimaalaai,70
asaadh,41
purniaamaa,10
vyaas,2036
jynti,1002
kbir,66
bhninch,25992
purviy,840
drshn,6045
arthaat,6299
haamro,5803
snaatn,793
dhrmmaa,2064
mhttv,1330
anautho,1181
anupm,1328
ga'ko,6
ru'ko,9
prkaash,1823
gairti,23
ajnyaann,23
iti,308
gauruah,23
ajnyaanlaai,35
htaaer,306
jnyaan,5581
garnaai,293
ysprkaar,1150
ythaarth,507
brhm,836
gaurupunirmaa,8
ved,2743
jyntiko,422
vyaasle,1390
vaant,122
upnisdhru,665
lekhi,300
snskritilaai,824
thulo,30114
gaun,71
lgaaaaa,1273
hun,43647
yi,25071
garnth,4166
haamraa,2212
maargadrshk,139
akel,742
shbd,14964
bs,845
draaibhrlaai,6
bolaaune,392
smbodhnko,6
adhyaapn,491
shiksk,837
tikr,23
lekkr,23
profesrko,23
smbodhn,1549
sokrets,14
pleto,67
arstu,14
sbai,40865
yogay,1947
faabelle,23
shiksaarthilaai,23
biruvaa,448
shiksklaai,23
maali,510
vidyaalylaai,119
bgaainkaakaa,23
upmaa,151
diaa,5191
ruso,35
prkritivaadi,23
shiksaashaastri,23
svtntr,7817
jnminch,23
uslaai,1578
sikn,586
dinuprch,1060
shikskle,45
pthprdrshkko,23
kaary,13015
garnuprch,1940
viksit,4113
dhni,3084
raastr,15731
khliaa,27
amerikaa,6977
aastreliyaale,23
mn,4169
maafik,69
dhn,1523
khrk,1367
shaiksik,2903
sudhaar,3189
skenn,1015
kuraa,17816
baayti,5419
saaptaahik,1953
di,854
ikonomistmaa,23
aktobr,3049
2007maa,505
shiksaasmbndhi,24
eutaa,36511
vikaarottejk,23
lekhmaa,1004
prkaashit,4813
ysaiko,555
aadhaarmaa,12417
arko,13385
aarthik,14131
shyoga,8009
vikaas,43254
sngathnle,28
maapn,282
prnaalianusaar,55
kyaanaadaa,567
finlyaand,761
jaapaan,9191
koriyaa,2243
singgaaapurle,23
shresthtaa,75
haasil,4659
paaiyo,282
praamrshdaataa,23
snsthaale,425
tin,13091
mhttvpurn,2349
bundaa,28
kaaer,35
prstut,4021
gar‍yo,7718
yogaytm,46
shikskhruko,65
vyvsthaa,10181
garnu,12561
yogaytmmdhye,23
chnot,797
bhaali,92
jhaanner,23
pchi,44855
ttkaal,1591
unihrulaai,847
uplbdh,4491
garaaunu,345
bundaalaai,37
vyaavhaarik,929
kaaryaanvyn,819
shiksaamaa,628
km,9921
lgaaanimaa,605
nishkit,2552
paainech,23
baayt,2720
asterliyaale,23
lgaaani,653
gare,59583
ikchaaanusaar,98
skaa,822
chainn,2457
tr,57456
dksin,26424
singgaaapur,270
hngkng,112
utkrist,1653
snaatk,1400
snaatkottrlaai,23
shikskmaa,23
gariaale,152
gaunstriy,95
bhautik,2639
saadhn,2781
saamgariko,306
prkurtaa,23
maatrle,59
shiksn,1216
sikaaimaa,23
ullekhniy,1960
prirvtn,23
skindain,757
jbsmm,189
saadhnhruko,129
smukit,241
